Date,Open,High,Low,Close,Volume
2025-10-01,114078.0078125,114275.8984375,113984.9375,114231.078125,0
2025-10-01,114212.734375,114526.3671875,114185.015625,114526.3671875,0
2025-10-01,114523.1484375,114523.1484375,114293.078125,114293.078125,0
2025-10-01,114282.90625,114525.421875,114162.640625,114211.859375,598294528
2025-10-01,114210.84375,114660.0390625,114210.1484375,114316.125,1492398080
2025-10-01,114302.6484375,114714.203125,114296.5390625,114574.90625,0
2025-10-01,114581.3984375,114602.4375,114259.5546875,114292.453125,0
2025-10-01,114289.4296875,114599.5703125,114289.4296875,114596.953125,0
2025-10-01,114584.78125,116327.1796875,114533.5078125,116106.1015625,3199971328
2025-10-01,116126.6015625,116528.75,116025.015625,116436.1953125,2460639232
2025-10-01,116453.3359375,116567.4140625,116256.3671875,116283.2421875,0
2025-10-01,116311.859375,116776.359375,116311.859375,116769.90625,857948160
2025-10-01,116816.34375,116889.3515625,116415.578125,116450.671875,634363904
2025-10-01,116431.71875,116831.515625,116431.71875,116831.515625,358285312
2025-10-01,116821.5546875,117419.9296875,116821.5546875,117355.796875,684838912
2025-10-01,117377.9765625,117593.390625,117191.1171875,117421.9140625,2636648448
2025-10-01,117476.3984375,118139.828125,117441.7265625,117665.84375,3024486400
2025-10-01,117630.5,117727.7421875,116837.90625,116906.65625,703905792
2025-10-01,116886.8984375,117371.90625,116864.21875,117282.7890625,749264896
2025-10-01,117279.765625,117645.6875,117279.765625,117455.1640625,0
2025-10-01,117490.703125,117583.6875,117248.5625,117583.6875,0
2025-10-01,117604.8203125,117617.84375,117418.1484375,117577.515625,0
2025-10-01,117613.203125,118062.125,117613.203125,117870.0078125,348610560
2025-10-01,117787.1171875,118535.65625,117781.84375,118535.65625,2043904000
2025-10-02,118625.8046875,119451.0703125,118566.0703125,118566.0703125,3862970368
2025-10-02,118498.1171875,118893.0703125,118498.1171875,118744.546875,1437515776
2025-10-02,118694.9375,118791.7578125,118568.3828125,118752.8671875,0
2025-10-02,118777.1875,119051.4765625,118774.5,118801.8203125,308559872
2025-10-02,118791.1875,118950.3203125,118551.5859375,118662.765625,418619392
2025-10-02,118732.9609375,118735.9609375,118423.4375,118427.1015625,0
2025-10-02,118438.984375,118703.8515625,118413.171875,118690.75,0
2025-10-02,118702.0625,118726.984375,118517.53125,118562.671875,0
2025-10-02,118607.8515625,118702.5625,118432.34375,118702.5625,0
2025-10-02,118691.8046875,118854.3203125,118640.2265625,118854.3203125,0
2025-10-02,118899.6953125,118899.6953125,118675.5,118675.5,0
2025-10-02,118675.984375,118912.0078125,118609.5234375,118811.609375,0
2025-10-02,118820.9296875,119426.890625,118817.09375,119415.09375,0
2025-10-02,119442.015625,119812.5859375,119006.1953125,119727.5859375,26677248
2025-10-02,119658.4609375,119779.9453125,118849.7421875,118924.140625,445992960
2025-10-02,118882.28125,119966.578125,118635.75,119966.578125,1245323264
2025-10-02,119974.15625,120309.65625,119697.8828125,119748.1015625,330629120
2025-10-02,119788.40625,119992.9296875,119494.0390625,119992.9296875,0
2025-10-02,119999.7734375,120683.9609375,119999.7734375,120618.375,341516288
2025-10-02,120574.3828125,121047.34375,120574.3828125,120844.0546875,3738001408
2025-10-02,120897.1953125,120965.375,120406.9609375,120645.6953125,415318016
2025-10-02,120638.1015625,120777.25,120254.6484375,120259.8671875,689512448
2025-10-02,120220.578125,120440.6328125,120160.0390625,120275.875,471334912
2025-10-02,120298.4140625,120672.1328125,120298.4140625,120653.765625,0
2025-10-03,120606.3203125,120606.3203125,120207.5703125,120217.2265625,0
2025-10-03,120214.0390625,120327.53125,119953.234375,119953.234375,0
2025-10-03,119965.9375,120308.0859375,119965.9375,120279.6640625,0
2025-10-03,120265.796875,120485.921875,120259.953125,120325.453125,0
2025-10-03,120312.9765625,120359.5234375,120111.4375,120129.5703125,0
2025-10-03,120158.2421875,120158.2421875,119879.5625,120000.765625,0
2025-10-03,119998.4453125,120105.34375,119874.96875,119943.84375,120578048
2025-10-03,120002.0703125,120060.828125,119731.375,119745.015625,1873965056
2025-10-03,119750.390625,120075.640625,119350.9609375,120075.640625,2468466688
2025-10-03,120113.7421875,120411.375,120105.375,120380.140625,2444328960
2025-10-03,120397.5390625,120585.265625,120367.4375,120544.9921875,721928192
2025-10-03,120527.875,120530.7578125,120258.8359375,120438.4375,1035026432
2025-10-03,120434.2890625,120465.453125,120211.0234375,120455.8359375,0
2025-10-03,120446.515625,120616.59375,120279.9140625,120504.5703125,0
2025-10-03,120483.21875,121033.4375,120028.78125,120970.359375,0
2025-10-03,120963.0625,122234.078125,120762.8671875,122234.078125,0
2025-10-03,122564.96875,123919.5546875,122564.96875,122793.1484375,16349310976
2025-10-03,122287.2421875,123083.09375,121782.328125,122149.4140625,6046007296
2025-10-03,122137.765625,122749.3359375,121576.0546875,122480.96875,0
2025-10-03,122598.40625,122973.546875,122460.4375,122724.0078125,0
2025-10-03,122736.21875,122794.953125,122130.8671875,122598.0078125,850616320
2025-10-03,122476.40625,122509.9609375,122088.40625,122443.59375,0
2025-10-03,122382.5,122716.5078125,122382.5,122528.6796875,0
2025-10-03,122519.796875,122523.1015625,122250.8203125,122250.8203125,0
2025-10-04,122276.53125,122330.890625,122066.9375,122158.265625,0
2025-10-04,122167.875,122167.875,121788.078125,121837.8359375,0
2025-10-04,121907.25,122106.8515625,121788.84375,121937.171875,669474816
